time,state,pedal_pos,brake,true_rpm,measured_rpm,filtered_rpm,cylinder,standard_target,active_target
5.189999999999934,DEFAULT_IDLE,1,False,1382.391944134734,750.000000000016,750.0000235270442,1,0.0,800.0
5.199999999999934,DEFAULT_IDLE,1,False,1381.7007481626667,750.000000000016,750.0000211743413,1,0.0,800.0
5.209999999999933,DEFAULT_IDLE,1,False,1381.0098977885855,750.000000000016,750.0000190569089,1,0.0,800.0
5.219999999999933,DEFAULT_IDLE,1,False,1380.319392839691,750.000000000016,750.0000171512196,1,0.0,800.0
5.229999999999933,DEFAULT_IDLE,1,False,1379.6292331432712,750.000000000016,750.0000154360993,1,0.0,800.0
5.239999999999933,DEFAULT_IDLE,1,False,1378.9394185266997,750.000000000016,750.000013892491,1,0.0,800.0
5.2499999999999325,DEFAULT_IDLE,1,False,1378.2499488174362,750.000000000016,750.0000125032435,1,0.0,800.0
5.259999999999932,DEFAULT_IDLE,1,False,1377.5608238430275,750.000000000016,750.0000112529208,1,0.0,800.0
5.269999999999932,DEFAULT_IDLE,1,False,1376.872043431106,750.000000000016,750.0000101276303,1,0.0,800.0
5.279999999999932,DEFAULT_IDLE,1,False,1376.1836074093906,750.000000000016,750.0000091148688,1,0.0,800.0
5.289999999999932,DEFAULT_IDLE,1,False,1375.4955156056858,750.000000000016,750.0000082033836,1,0.0,800.0
5.299999999999931,DEFAULT_IDLE,1,False,1374.807767847883,750.000000000016,750.0000073830469,1,0.0,800.0
5.309999999999931,DEFAULT_IDLE,1,False,1374.120363963959,750.000000000016,750.0000066447437,1,0.0,800.0
5.319999999999931,DEFAULT_IDLE,1,False,1373.4333037819772,750.000000000016,750.000005980271,1,0.0,800.0
5.329999999999931,DEFAULT_IDLE,1,False,1372.7465871300863,750.000000000016,750.0000053822455,1,0.0,800.0
5.339999999999931,DEFAULT_IDLE,1,False,1372.0602138365211,750.000000000016,750.0000048440226,1,0.0,800.0
5.34999999999993,DEFAULT_IDLE,1,False,1371.374183729603,750.000000000016,750.0000043596219,1,0.0,800.0
5.35999999999993,DEFAULT_IDLE,1,False,1370.6884966377381,750.000000000016,750.0000039236613,1,0.0,800.0
5.36999999999993,DEFAULT_IDLE,1,False,1370.0031523894193,750.000000000016,750.0000035312968,1,0.0,800.0
5.37999999999993,DEFAULT_IDLE,1,False,1369.3181508132245,750.000000000016,750.0000031781688,1,0.0,800.0
5.3899999999999295,DEFAULT_IDLE,1,False,1368.6334917378178,750.000000000016,750.0000028603534,1,0.0,800.0
5.399999999999929,DEFAULT_IDLE,1,False,1367.949174991949,750.000000000016,750.0000025743198,1,0.0,800.0
5.409999999999929,DEFAULT_IDLE,1,False,1367.265200404453,750.000000000016,750.0000023168894,1,0.0,800.0
5.419999999999929,DEFAULT_IDLE,1,False,1366.5815678042509,750.000000000016,750.0000020852021,1,0.0,800.0
5.429999999999929,DEFAULT_IDLE,1,False,1365.8982770203488,750.000000000016,750.0000018766835,1,0.0,800.0
5.4399999999999284,DEFAULT_IDLE,1,False,1365.2153278818387,750.000000000016,750.0000016890168,1,0.0,800.0
5.449999999999928,DEFAULT_IDLE,1,False,1364.5327202178978,750.000000000016,750.0000015201167,1,0.0,800.0
5.459999999999928,DEFAULT_IDLE,1,False,1363.8504538577888,750.000000000016,750.0000013681066,1,0.0,800.0
5.469999999999928,DEFAULT_IDLE,1,False,1363.16852863086,750.000000000016,750.0000012312976,1,0.0,800.0
5.479999999999928,DEFAULT_IDLE,1,False,1362.4869443665445,750.000000000016,750.0000011081694,1,0.0,800.0
5.489999999999927,DEFAULT_IDLE,1,False,1361.8057008943613,750.000000000016,750.000000997354,1,0.0,800.0
5.499999999999927,DEFAULT_IDLE,1,False,1361.124798043914,750.000000000016,750.0000008976202,1,0.0,800.0
5.509999999999927,DEFAULT_IDLE,1,False,1360.4442356448922,750.000000000016,750.0000008078598,1,0.0,800.0
5.519999999999927,DEFAULT_IDLE,1,False,1359.7640135270697,750.000000000016,750.0000007270754,1,0.0,800.0
5.5299999999999265,DEFAULT_IDLE,1,False,1359.084131520306,750.000000000016,750.0000006543695,1,0.0,800.0
5.539999999999926,DEFAULT_IDLE,1,False,1358.4045894545459,750.000000000016,750.0000005889342,1,0.0,800.0
5.549999999999926,DEFAULT_IDLE,1,False,1357.7253871598186,750.000000000016,750.0000005300424,1,0.0,800.0
5.559999999999926,DEFAULT_IDLE,1,False,1357.0465244662387,750.000000000016,750.0000004770397,1,0.0,800.0
5.569999999999926,DEFAULT_IDLE,1,False,1356.3680012040056,750.000000000016,750.0000004293374,1,0.0,800.0
5.5799999999999255,DEFAULT_IDLE,1,False,1355.6898172034037,750.000000000016,750.0000003864053,1,0.0,800.0
5.589999999999925,DEFAULT_IDLE,1,False,1355.011972294802,750.000000000016,750.0000003477663,1,0.0,800.0
5.599999999999925,DEFAULT_IDLE,1,False,1354.3344663086546,750.000000000016,750.0000003129913,1,0.0,800.0
5.609999999999925,DEFAULT_IDLE,1,False,1353.6572990755003,750.000000000016,750.0000002816938,1,0.0,800.0
5.619999999999925,DEFAULT_IDLE,1,False,1352.9804704259625,750.000000000016,750.0000002535261,1,0.0,800.0
5.629999999999924,DEFAULT_IDLE,1,False,1352.3039801907496,750.000000000016,750.000000228175,1,0.0,800.0
5.639999999999924,DEFAULT_IDLE,1,False,1351.6278282006542,750.000000000016,750.0000002053591,1,0.0,800.0
5.649999999999924,DEFAULT_IDLE,1,False,1350.952014286554,750.000000000016,750.0000001848248,1,0.0,800.0
5.659999999999924,DEFAULT_IDLE,1,False,1350.2765382794107,750.000000000016,750.000000166344,1,0.0,800.0
5.6699999999999235,DEFAULT_IDLE,1,False,1349.601400010271,750.000000000016,750.0000001497111,1,0.0,800.0
5.679999999999923,DEFAULT_IDLE,1,False,1348.9265993102658,750.000000000016,750.0000001347416,1,0.0,800.0
5.689999999999923,DEFAULT_IDLE,1,False,1348.2521360106107,750.000000000016,750.0000001212691,1,0.0,800.0
5.699999999999923,DEFAULT_IDLE,1,False,1347.5780099426054,750.000000000016,750.0000001091438,1,0.0,800.0
5.709999999999923,DEFAULT_IDLE,1,False,1346.9042209376341,750.000000000016,750.000000098231,1,0.0,800.0
5.7199999999999225,DEFAULT_IDLE,1,False,1346.2307688271653,750.000000000016,750.0000000884095,1,0.0,800.0
5.729999999999922,DEFAULT_IDLE,1,False,1345.5576534427516,750.000000000016,750.0000000795701,1,0.0,800.0
5.739999999999922,DEFAULT_IDLE,1,False,1344.8848746160302,750.000000000016,750.0000000716147,1,0.0,800.0
5.749999999999922,DEFAULT_IDLE,1,False,1344.212432178722,750.000000000016,750.0000000644549,1,0.0,800.0
5.759999999999922,DEFAULT_IDLE,1,False,1343.5403259626328,750.000000000016,750.000000058011,1,0.0,800.0
5.769999999999921,DEFAULT_IDLE,1,False,1342.8685557996514,750.000000000016,750.0000000522115,1,0.0,800.0
5.779999999999921,DEFAULT_IDLE,1,False,1342.1971215217516,750.000000000016,750.0000000469919,1,0.0,800.0
5.789999999999921,DEFAULT_IDLE,1,False,1341.5260229609908,750.000000000016,750.0000000422943,1,0.0,800.0
5.799999999999921,DEFAULT_IDLE,1,False,1340.8552599495104,750.000000000016,750.0000000380666,1,0.0,800.0
5.809999999999921,DEFAULT_IDLE,1,False,1340.1848323195356,750.000000000016,750.0000000342615,1,0.0,800.0
5.81999999999992,DEFAULT_IDLE,1,False,1339.5147399033758,750.000000000016,750.0000000308369,1,0.0,800.0
5.82999999999992,DEFAULT_IDLE,1,False,1338.8449825334242,750.000000000016,750.0000000277548,1,0.0,800.0
5.83999999999992,DEFAULT_IDLE,1,False,1338.1755600421575,750.000000000016,750.000000024981,1,0.0,800.0
5.84999999999992,DEFAULT_IDLE,1,False,1337.5064722621364,750.000000000016,750.0000000224845,1,0.0,800.0
5.8599999999999195,DEFAULT_IDLE,1,False,1336.8377190260053,750.000000000016,750.0000000202377,1,0.0,800.0
5.869999999999919,DEFAULT_IDLE,1,False,1336.1693001664923,750.000000000016,750.0000000182156,1,0.0,800.0
5.879999999999919,DEFAULT_IDLE,1,False,1335.501215516409,750.000000000016,750.0000000163957,1,0.0,800.0
5.889999999999919,DEFAULT_IDLE,1,False,1334.8334649086507,750.000000000016,750.0000000147577,1,0.0,800.0
5.899999999999919,DEFAULT_IDLE,1,False,1334.1660481761965,750.000000000016,750.0000000132835,1,0.0,800.0
5.909999999999918,DEFAULT_IDLE,1,False,1333.4989651521084,750.000000000016,750.0000000119568,1,0.0,800.0
5.919999999999918,DEFAULT_IDLE,1,False,1332.8322156695324,750.000000000016,750.0000000107627,1,0.0,800.0
